ticker,zip,sector,longBusinessSummary,city,phone,country,companyOfficers,website,maxAge,address1,fax,industry,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,totalAssets,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,toCurrency,averageVolume10days,expireDate,yield,algorithm,dividendRate,exDividendDate,beta,circulatingSupply,startDate,regularMarketDayLow,priceHint,currency,trailingPE,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,priceToSalesTrailing12Months,dayLow,ask,ytdReturn,askSize,volume,fiftyTwoWeekHigh,forwardPE,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,quoteType,symbol,messageBoardId,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,profitMargins,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,enterpriseValue,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,morningStarOverallRating,earningsQuarterlyGrowth,dateShortInterest,pegRatio,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,category,fiveYearAverageReturn,logo_url,fullTimeEmployees,address2,underlyingSymbol,underlyingExchangeSymbol,headSymbol,uuid,err,state
BOR,3712,Industrials,"Borgestad ASA develops, manufactures, distributes, and installs refractory products in Norway. The company also develops and manages real estate properties. Its properties include Agora Bytom, a shopping center with a gross area of 52,000 square meters and a rental area of approximately 30,000 square meters, as well as a parking garage with 820 parking spaces in Poland; and Borgestad Business Park, a rented commercial premises used for the storage, production, and offices. Borgestad ASA was founded in 1904 and is headquartered in Skien, Norway.",Skien,47 35 54 24 00,Norway,[],http://borgestad.no,1,Gunnar Knudsensveg 144,,Building Products & Equipment,15.85,16.15,13.729928,,0,,16.15,,22130,,15.85,14.644117,,16.15,,22130,,,,,1307664000,1.431475,,,15.55,2,NOK,,1433,,,,197746240,,,23332,0.21433885,15.55,15.55,,75000,1433,32,-3.676123,,,9.1,15.5,False,,75000,16.15,OSL,BORGESTAD ASA,Borgestad ASA,Europe/Oslo,CEST,False,7200000,EQUITY,BOR.OL,finmb_878193,no_market,,1.294,,-0.06982,22.734,-0.06764704,,-4.23,,12716800,,,39.859,,,,1577750400,0,-64412000,-7.859,,0.16254902,0.3901252,0.88801,1640908800,1585612800,,,3296749,1193578624,,,,,,,,,,,,,,https://logo.clearbit.com/borgestad.no,,,,,,,,
BMA,4701,Industrials,"Byggma ASA manufactures and supplies building materials to builders and retailers in the Nordic countries. It offers pre-painted ceilings and wall panels under the Huntonit brand name; I-beams for use in ceilings, walls, and floors in wood-based buildings under the brand name of Masonite; and particle boards, boards, and structural panels for use in buildings, pre painted ceilings, and wall panels under the Forestia brand name. The company also provides home lighting products under the Scan Lamps brand name; doors and windows for new buildings, extensions, or rehabilitation under the brand name of Uldal; a range of lamp and lighting products under the Aneta brand name; and develops, manufactures and distributes MDF panels for walls, ceilings, bathrooms, and kitchens under the brand name of Smartpanel. The company is headquartered in Vennesla, Norway.",Vennesla,47 38 13 71 00,Norway,[],http://www.byggma.no,1,Venneslaveien 233,,Building Products & Equipment,107,107,91.054344,0.009345794,0.1558,,108,,153,,107,101.29412,1,107,,153,,,,1,1590624000,0.595818,,,107,2,NOK,16.9279,2,,,,754048448,,,1518,0.4061588,107,108,,170100,2,109,,,3.01,66,107,False,0.0093,38900,108,OSL,BYGGMA ASA,Byggma ASA,Europe/Oslo,CEST,False,7200000,EQUITY,BMA.OL,finmb_9391774,no_market,,0.55,,0.024,6.488,0.20903957,,,,6981930,,,127.596,,,,1577750400,0.0602,44549000,6.38,,0.16254902,0.84642154,0.94914,1640908800,1585612800,,,325966,1021281024,,,,,,-0.177,,,,,,,,https://logo.clearbit.com/byggma.no,,Postboks 21,,,,,,
CARA,,Healthcare,"Carasent ASA provides cloud-based medical record services to the private and public health care industry in Nordic region. The company develops Webdoc, a cloud based EMR-system; and develops a digital platform for interactive health care to communicate through video, tele and health meetings, chat, and other online channels. It also provides training and consulting services. The company was formerly known as Apptix ASA and changed its name to Carasent ASA in May 2019. The company was founded in 1997 and is based in Oslo, Norway.",Oslo,,Norway,[],http://carasent.com,1,c/o Advokatsenteret Kristian,,Health Information Services,20.9,20.9,15.782609,,0,,20.9,,30412,,20.9,20.366177,,20.9,,30412,,,,,1525996800,0.440766,,,20.4,2,NOK,345.00003,10976,,,,841119680,,,78829,16.026516,20.4,20.7,,,10976,22,,,,7.38,20.5,False,,,20.9,OSL,CARASENT ASA,Carasent ASA,Europe/Oslo,CEST,False,7200000,EQUITY,CARA.OL,finmb_4222700,no_market,,16.38,,0.04868,103.378,1.4588234,,,,40633800,,,2.482,,,,1577750400,0.05599,2555000,0.06,,0.16254902,8.340048,0.62675,1640908800,1585612800,,,15670096,859689600,,1558569600,1:4,,,-0.629,,,,,,,,https://logo.clearbit.com/carasent.com,,Augusts gate 14,,,,,,
BWO,HM11,Energy,"BW Offshore Limited builds, owns, and operates oil and gas floating production, storage, and offloading vessels (FPSOs); and floating, storage, and offloading vessels (FSOs) to the oil and gas industries in the Asia Pacific, the Americas, the European Union, and West Africa. It also offers engineering, procurement, construction, and installation services; and lease and operation services of FPSO units. As of March 8, 2016, the company had a fleet of 14 FPSOs and 1 FSO. It also operates additional two operations and maintenance contracts FPSOs and one new project FPSO. The company was founded in 1982 and is based in Hamilton, Bermuda.",Hamilton,,Bermuda,[],http://www.bwoffshore.com,1,Clarendon House,,Oil & Gas Equipment & Services,33.6,33.62,32.09119,0,0,,34.32,,438363,,33.6,32.914116,0,33.62,,438363,,,,0.32,1591056000,2.865272,,,33.2,2,NOK,,110685,,,,7598923776,,,871405,6.438675,33.2,33.4,,2337600,110685,69.212,49.088238,,,12.91,33.36,False,0.0089,737500,34.32,OSL,BW OFFSHORE LTD,BW Offshore Limited,Europe/Oslo,CEST,False,7200000,EQUITY,BWO.OL,finmb_26954576,no_market,,6.373,,-0.18548,11.164,-0.13406527,,0.68,,227648992,,,4.217,,,,1577750400,0.2165,-233200000,-1.184,,0.16254902,7.9155803,0.50139,1640908800,1585612800,,,106798650,7520999936,,1480636800,1:50,,,,,,,,,,,https://logo.clearbit.com/bwoffshore.com,2126,2 Church Street,,,,,,
COV,111 22,Healthcare,"ContextVision AB (publ), a medical technology software company, provides image analysis and artificial intelligence software solutions to original equipment manufacturers worldwide. It operates through two segments, Medical Imaging and Digital Pathology. The company offers image enhancement software for 2D/3D/4D ultrasound, radiography, magnetic resonance imaging (MRI), and mammography. Its products include US PLUSView, an image enhancement software product for women's health, general imaging, cardiovascular, and point of care applications; VolarView, an image enhancement software for the handheld ultrasound market segment; GOPiCE, a technology for volumetric image enhancement in real-time; and REALiCE, a volumetric image enhancement and rendering solution for visualization. The company also provides Altumira/Altumira Plus, a solution for various digital radiography systems; GOPView XR2Plus for x-ray systems for human and veterinary examinations; and Orthopedic Package for orthopedic imaging. In addition, it offers GOPView MRI2Plus, an image enhancement solution for MRI; GOPView Mammo3, an image enhancement software for screening and diagnostic mammography; and INIFY Prostate, an AI-based software that outlines and quantifies suspected cancerous areas in a series of prostate biopsies. ContextVision AB (publ) was founded in 1983 and is headquartered in Stockholm, Sweden.",Stockholm,46 87 50 35 50,Sweden,[],http://www.contextvision.com,1,Klara Norra Kyrkogata 31,,Health Information Services,275,275,147.58261,,0,,275,,21905,,275,249.08824,,275,,21905,,,,,1212969600,1.293263,,,266,2,NOK,,3729,,,,2065712256,,,21297,,266,267,,140000,3729,309,1026.9231,,,50.5,265,False,,140000,275,OSL,CONTEXTVISION AB,ContextVision AB (publ),Europe/Oslo,CEST,False,7200000,EQUITY,COV.OL,finmb_786673,no_market,,,,0.1275,,2.7162163,,0.26,,7736750,,,0.808,,,,1577750400,0.08879,,-0.033,,0.16254902,330.44553,0.7414,1640908800,1585612800,,,2043430,2127606272,,,,,,1.757,,,,,,,,https://logo.clearbit.com/contextvision.com,46,,,,,,,
DNO,0250,Energy,"DNO ASA engages in the exploration, development, and production of oil and gas assets in the Middle East and the North Sea. Its flagship project is the Tawke field that is located in the Kurdistan region of Iraq. As of December 31, 2019, its proven reserves consisted of 205.6 million barrels of oil equivalent (MMboe); proven and probable reserves included 344.8 MMboe; and proven, probable, and possible reserves consisted of 539.9 MMboe. The company was founded in 1971 and is headquartered in Oslo, Norway.",Oslo,47 23 23 84 80,Norway,[],http://www.dno.no,1,Dokkveien 1,47 23 23 84 81,Oil & Gas E&P,5.854,5.9,5.735259,0.007516228,,,5.97,,9956315,,5.854,5.969,0.044,5.9,,9956315,,,,0.4,1571961600,1.96806,,,5.76,2,NOK,,2744214,,,,5702381568,,,8484020,7.3163733,5.76,5.844,,728400,2744214,14.755,17.71515,,,2.5,5.828,False,0.0645,162000,5.97,OSL,DNO ASA,DNO ASA,Europe/Oslo,CEST,False,7200000,EQUITY,DNO.OL,finmb_878127,no_market,,8.142,,-0.19066,19.925,-0.53959894,,0.33,,975433024,,,0.988,,,,1577750400,0.14917,-148600000,-0.15,,0.16254902,5.9170046,0.40448,1640908800,1593475200,,,536593797,6346167296,,1150416000,4:1,,,,,,,,,,,https://logo.clearbit.com/dno.no,1318,Aker Brygge,,,,,,
EIOF,5443,Energy,"Eidesvik Offshore ASA operates as a shipping company. It operates through Seismic, Subsea/Offshore Wind, Platform Supply, and Other segments. The company delivers shipping services to customers who produce seismic data; subsea inspection, maintenance, repair, and construction services for subsea work in the oil industry; and shipping services the offshore oil industry. It operates 6 large supply and one smaller supply vessels; a fleet of 4 vessels related to seismic; and a fleet of 4 vessels related to subsea/wind. The company is headquartered in BÃ¸mlo, Norway. Eidesvik Offshore ASA is a subsidiary of Eidesvik Invest AS.",Bomlo,47 53 44 80 00,Norway,[],http://www.eidesvik.no,1,Vestvikveien 1,,Oil & Gas Equipment & Services,3.16,3.16,3.9487681,,0,,3.16,,19389,,3.16,3.3164706,,3.16,,19389,,,,,1400198400,0.780487,,,3.1,4,NOK,,4003,,,,192664992,,,15812,0.31395537,3.1,3.18,,,4003,6.12,,,,3.06,3.12,False,,,3.16,OSL,EIDESVIK OFFSHORE,Eidesvik Offshore ASA,Europe/Oslo,CEST,False,7200000,EQUITY,EIOF.OL,finmb_22071229,no_market,,3.538,,-1.10569,12.974,-0.38039213,,-4.58,,62150000,,,10.307,,,,1577750400,0.05849,-678529984,-10.921,,0.16254902,0.30076647,0.7988,1640908800,1585612800,,,11241070,2171129088,,,,,,,,,,,,,,https://logo.clearbit.com/eidesvik.no,514,,,,,,,
CLOUD-ME,0273,Utilities,"Cloudberry Clean Energy AS operates as a renewable energy company. The company owns, develops, and operates hydropower plants and wind farms in Norway and Sweden. Cloudberry Clean Energy AS was founded in 2017 and is headquartered in Oslo, Norway.",Oslo,,Norway,[],http://www.cloudberry.no,1,FrOeyas Gate 15,,Utilities—Renewable,11.5,11.698,12.855886,,0,,11.698,,63091,,11.5,13.105883,,11.698,,63091,,,,,,,,,11.56,2,NOK,,1380,,,,,,,77794,,11.56,11.648,,,1380,19,,,,10.54,11.58,False,,,11.698,OSL,CLOUDBERRY CLEAN,Cloudberry Clean Energy AS,Europe/Oslo,CEST,False,7200000,EQUITY,CLOUD-ME.OL,finmb_657338383,no_market,,1583.735,,0,-169.788,-0.23323113,,,,,,,1.271,,,,1577750400,,-2609160,-0.687,,0.16254902,9.164437,,1640908800,,,,14542165,442525728,,,,,,,,,,,,,,https://logo.clearbit.com/cloudberry.no,,,,,,,,
DOF,5392,Energy,"DOF ASA, together with its subsidiaries, owns and operates a fleet of offshore vessels worldwide. The company operates through three segments: Platform Supply Vessel (PSV), Anchor Handling Tug Supply Vessel (AHTS), and Subsea Vessel and Subsea Engineering. It operates a fleet of PSVs that are used to transport oilfield products and supplies to offshore drilling and production facilities; AHTS used to set anchors for drilling rigs, and tow mobile drilling rigs and equipment from one location to another; and subsea vessels used for a range of subsea services. The company also provides subsea services comprising project management, engineering, construction and installation, life-of-field, decommissioning/field abandonment, and survey and positioning, as well as inspection, repair, and maintenance services. In addition, it offers marine management services, such as crewing, chartering, mobilization, maintenance, refurbishment, projects and new building, and compliance services. As of December 31, 2019, the company operated a fleet of 67 vessels, including 16 PSVs, 20 AHTSs, and 31 subsea/construction vessels, as well as 72 remote operated vehicles and 2 autonomous underwater vehicles. It operates in Brazil, the United Kingdom, Australia, Norway, Canada, the United States, Guyana, the Philippines, Angola, Argentina, and internationally. The company was founded in 1981 and is headquartered in StorebÃ¸, Norway.",Storebo,47 56 18 10 00,Norway,[],http://www.dof.no,1,Alfabygget,47 56 18 10 06,Oil & Gas Equipment & Services,0.594,0.639,0.85563046,,0,,0.639,,332302,,0.594,0.58902943,,0.639,,332302,,,,,1242432000,1.937862,,,0.601,4,NOK,,726986,,,,187735440,,,702539,0.028333148,0.601,0.61,,4700000,726986,3.2,0.7176471,,,0.5,0.602,False,,1357000,0.639,OSL,DOF ASA,DOF ASA,Europe/Oslo,CEST,False,7200000,EQUITY,DOF.OL,finmb_884333,no_market,,2.976,,-0.97329,10.205,-0.78633094,,0.85,,307763008,,,-1.283,,,,1577750400,0.04079,-6448999936,-20.38,,0.16254902,,0.57965,1640908800,1585612800,,,108581786,19716810752,,1527206400,1:10,,,,,,,,,,,https://logo.clearbit.com/dof.no,3440,,,,,,,
BWE,0277,Energy,"BW Energy Limited engages in the acquisition, exploration, development, and production of oil and natural gas in Africa. It primarily holds interests in three hydrocarbon licenses in Gabon, Brazil, and Namibia. The company was founded in 2016 and is based in Oslo, Norway.",Oslo,47 23 13 00 00,Norway,[],http://www.bwenergy.no,1,Drammensveien 151,47 23 13 00 01,Oil & Gas E&P,17.7,17.41,14.949731,,0,,17.9,,147547,,17.7,17.558882,,17.41,,147547,,,,,,,,,17.36,2,NOK,57.702267,74246,,,,4177640192,,,454642,14.793344,17.36,17.95,,,74246,25,,,,7.62,17.85,False,,,17.9,OSL,BW ENERGY LIMITED,BW Energy Limited,Europe/Oslo,CEST,False,7200000,EQUITY,BWE.OL,finmb_144579252,no_market,,12.119,,0.20538001,21.23,-0.26708072,,,,234304000,,,1.938,,,,1577750400,0.100880004,58000000,0.309,,0.16254902,9.200207,0.7214,1640908800,1585612800,,,56150662,3422279936,,,,,,,,,,,,,,https://logo.clearbit.com/bwenergy.no,100,,,,,,,
CRAYON,0484,Technology,"Crayon Group Holding ASA, together with its subsidiaries, operates as an IT advisory company in software and digital transformation services. It operates through Software & Cloud Direct, Software & Cloud Channel, Software & Cloud Economics, and Consulting segments. The company offers license management and consultancy services; SAM as a Service, a single hosted managed service that enables its clients to control software and technology assets across their IT environment; and SAM-iQ, which provides a centralized program interface that allows its customers to analyze, review, and manage their SAM environment. It also provides software and cloud economic services, including license management and solutions across large and mid-market enterprises, public sector, and cloud and service provider markets, as well as deployment planning services. In addition, the company offers consulting services in the areas of cloud architecture and deployment solutions, licensing environment optimization and management, security, datacenter systems, infrastructure and networking, backup and data recovery, servers environments, and storage and virtualization solutions; and managed services, such as outsourced license lifecycle management, project management, audit simulation and support, and infrastructure management and support services. Further, it provides training, events, and development programs for IT professionals. It has operations in the Nordics, Europe, the Asia-Pacific, the Middle East and Africa, and the United States. The company is headquartered in Oslo, Norway.",Oslo,47 22 89 10 00,Norway,[],http://www.crayon.com,1,Sandakerveien 114A,,Information Technology Services,76.3,76.4,58.783333,,0,,76.9,,189379,,76.3,67.98529,,76.4,,189379,,,,,,1.349002,,,72.1,2,NOK,,111109,,,,6014355968,,,206377,0.39613384,72.1,74.3,,0,111109,83,69.252335,,,27.6,74.1,False,,0,76.9,OSL,CRAYON GROUP HLD,Crayon Group Holding ASA,Europe/Oslo,CEST,False,7200000,EQUITY,CRAYON.OL,finmb_46100086,no_market,,0.395,,-0.00343,34.532,1.4376998,,1.07,,81165400,,,8.798,,,,1577750400,0.21603,-52075000,-0.691,,0.16254902,8.422368,0.60696,1640908800,1585612800,,,34221159,5992186368,,,,,,,,,,,,,,https://logo.clearbit.com/crayon.com,1500,,,,,,,
EMGS,7041,Energy,"Electromagnetic Geoservices ASA, together with its subsidiaries, provides electromagnetic (EM) surveying services to the offshore oil and gas exploration industry. It is involved in the planning, acquisition, processing, modelling, interpretation, and integration of EM data. The company uses its patented electromagnetic survey method to find hydrocarbons in offshore reservoirs. Its products and services include imaging and interpretation, consultancy, magnetotelluric survey, training, and controlled-source electromagnetic surveying services. Electromagnetic Geoservices ASA has operations in Europe, the Middle East, Africa, Norway, North and South America, Asia, and the Pacific Ocean. The company was founded in 2002 and is headquartered in Trondheim, Norway.",Trondheim,,Norway,[],http://www.emgs.com,1,Stiklestadveien 1,,Oil & Gas Equipment & Services,0.709,0.681,0.9545797,,0,,0.705,,155893,,0.709,0.7709412,,0.681,,155893,,,,,,2.655632,,,0.67,4,NOK,14.723404,102356,,,,90631240,,,520268,1.1285456,0.67,0.705,,,102356,2.85,,,,0.5,0.692,False,,,0.705,OSL,ELECTROMAGNETIC GE,Electromagnetic Geoservices ASA,Europe/Oslo,CEST,False,7200000,EQUITY,EMGS.OL,finmb_10654493,no_market,,1.596,,0.08489,3.886,-0.6848889,,,,130970000,,,-0.002,,,,1577750400,0.01382,6817000,0.047,,0.16254902,,0.59531,1640908800,1593475200,,,54838319,128168512,,1467331200,1:40,,,,,,,,,,,https://logo.clearbit.com/emgs.com,131,,,,,,,
BON,0152,Industrials,"Bonheur ASA, together with its subsidiaries, engages in the renewable energy, shipping/offshore wind, and cruise businesses primarily in Norway and internationally. The company's Renewable Energy segment develops, constructs, and operates wind farms with an installed capacity of 679 MW. Its Shipping/Offshore Wind segment owns and operates three self-propelled jack-up vessels for the transportation, installation, and service of offshore wind turbines. The company's Cruise segment owns and operates four cruise ships with an overall berth capacity of approximately 3,700 passengers, as well as operates river cruise vessel. Its Other Investments segment offers publications; PR software services; and software as a service-based Web and social monitoring solutions for small and medium businesses to leverage and understand online data. Bonheur ASA was incorporated in 1897 and is headquartered in Oslo, Norway.",Oslo,47 22 34 10 00,Norway,[],http://www.bonheur.no,1,Fred. Olsens gate 2,,Conglomerates,225,225,198.19058,0.019111112,,,228,,23597,,225,223.97058,4.3,225,,23597,,,,4.3,1590624000,0.867595,,,223.5,2,NOK,,3754,,,,9548411904,,,48724,1.2982615,223.5,225,,50900,3754,244.5,,,2.71,134,224.5,False,0.0195,100000,228,OSL,BONHEUR ASA,Bonheur ASA,Europe/Oslo,CEST,False,7200000,EQUITY,BON.OL,finmb_878177,no_market,,1.923,,-0.0892,17.141,0.25,,,,42531900,,,142.862,,,,1577750400,0.23837,-656028032,-15.424,,0.16254902,1.5714465,0.53275,1640908800,1593475200,,,19534048,14144275456,,1149120000,4:1,,,,,,,,,,,https://logo.clearbit.com/bonheur.no,3935,,,,,,,
BOUVET,0369,Technology,"Bouvet ASA provides information technology, digital communication, and enterprise management services in Norway, Sweden, and internationally. The company designs, develops, and provides advisory services on IT solutions and digital communication. Bouvet ASA was founded in 2002 and is based in Oslo, Norway.",Oslo,47 23 40 60 00,Norway,[],http://www.bouvet.no,1,Sorkedalsveien 8,,Information Technology Services,536,534,441.9565,0.015391791,0.7019,,538,,2946,,536,520.55884,8.25,534,,2946,,,,8.25,1590105600,0.741579,,,532,2,NOK,28.717949,1222,,,,5452627456,,,8401,2.4684172,532,536,,166400,1222,556,38.439304,,4.1,277,532,False,0.0154,27300,538,OSL,BOUVET ASA,Bouvet ASA,Europe/Oslo,CEST,False,7200000,EQUITY,BOUVET.OL,finmb_34102981,no_market,,2.421,,0.08663999,20.9,0.8419244,,13.84,,10249300,,,37.632,,,,1577750400,0.31916,191378000,18.525,,0.16254902,14.136905,0.29916,1640908800,1585612800,,,7590394,5348851712,,,,,,0.21,,,,,,,,https://logo.clearbit.com/bouvet.no,1575,,,,,,,
BRG,1701,Basic Materials,"Borregaard ASA develops, produces, and sells biomaterials, biochemicals, and fine chemicals in Norway, rest of Europe, the United States, Asia, and internationally. It operates through three segments: BioSolutions, BioMaterials, and Fine Chemicals. The BioSolutions segment provides biopolymers that are used as binding and dispersing agents for a range of applications, such as construction, industrial binders, agrochemicals, and batteries; and biovanillin for flavor and fragrance companies, as well as for the food and beverage industry. This segment also engages in chemicals trading activities. The BioMaterials segment offers specialty cellulose for use as a raw material in the production of cellulose ethers, cellulose acetate, and other specialty products, as well as provides cellulose fibrils for industrial applications. The Fine Chemicals segment provides pharma intermediates and bioethanol. Borregaard ASA was incorporated in 2012 and is headquartered in Sarpsborg, Norway.",Sarpsborg,47 69 11 80 00,Norway,[],http://www.borregaard.com,1,Hjalmar Wessels vei 6,47 69 11 87 70,Specialty Chemicals,118.4,118.4,99.736595,0.019425675,0.6183,,119,,60220,,118.4,109.185295,2.3,118.4,,60220,,,,2.3,1592265600,0,,,117.4,2,NOK,31.65236,2680,,,,11751997440,,,84482,2.2586966,117.4,118.6,,721000,2680,123,22.056076,,,75,118.2,False,0.0194,391200,119,OSL,BORREGAARD ASA,Borregaard ASA,Europe/Oslo,CEST,False,7200000,EQUITY,BRG.OL,finmb_216329283,no_market,,2.708,,0.0715,14.006,0.24500525,,5.35,,99593200,,,29.38,,,,1577750400,0.56839,372000000,3.728,,0.16254902,4.016338,0.07204,1640908800,1593475200,,,91484295,14089831424,,,,,,-0.172,,,,,,,,https://logo.clearbit.com/borregaard.com,1103,PO Box 162,,,,,,
DNB,0191,Financial Services,"DNB ASA provides various banking products and services for retail and corporate customers in Norway and internationally. The company offers savings and investment products, including saving accounts, home savings products, equities, retirement savings, fixed rate deposits, exchange traded products, bonds and commercial papers, and asset management services; and loans, such as home mortgages, car and consumer loans, trade finance, and export financing, as well as overdraft facilities, bank guarantees, and leasing and factoring services. It also provides various cards; a range of insurance products comprising car, boat, motor vehicle, household contents, home, holiday home, travel, and life insurance products, as well as pet insurance for cats and dogs; and pension plans. In addition, the company offers investment banking advisory and financing services, such as mergers and acquisitions, and equity and debt capital markets for corporations and private equity firms; and foreign exchange and treasury, cash management, research, commodities, equities, corporate finance, interest rates, securities, real estate broking, and internet and mobile banking services. It offers its products and services to various sectors, including energy; financial institutions; healthcare; manufacturing; packaging and forest products; seafood; shipping, offshore, and logistics; and telecom, media, and technology. The company distributes its products and services through its branches, in-store postal and banking outlets, and post office counters. DNB ASA was founded in 1822 and is headquartered in Oslo, Norway.",Oslo,,Norway,[],http://www.dnb.no,1,Dronning Eufemias gate 30,,Banks—Regional,141.2,142,134.62906,0.06373938,0,,143.2,,1365558,,141.2,137.54265,9,142,,1365558,,,,,1588118400,0.975609,,,141.05,2,NOK,11.336307,505315,,,,220695183360,,,2893347,4.5189233,141.05,142.45,,246400,505315,178.1,9.566532,,,94.26,142.35,False,,327700,143.2,OSL,DNB ASA,DNB ASA,Europe/Oslo,CEST,False,7200000,EQUITY,DNB.OL,finmb_9778651,no_market,,19.812,,0.43046,,-0.060232937,,14.88,,1550370048,,,154.097,,,,1577750400,0.37327,19740000256,12.557,,0.16254902,0.9237688,0.42226002,1640908800,1593475200,,,889185902,967568982016,,,,,,-0.182,,,,,,,,https://logo.clearbit.com/dnb.no,9020,Bjorvika,,,,,,
BWLPG,117438,Industrials,"BW LPG Limited, an investment holding company, engages in shipowning and chartering activities worldwide. It operates through three segments: Very Large Gas Carriers (VLGCs), Large Gas Carriers (LGCs), and Product Services. The company is involved in the transportation of liquefied petroleum gas to oil companies, and trading and utility companies; and product trading and delivery activities. As of February 28, 2020, it had a fleet of 47 vessels, including 35 owned VLGCs, 10 chartered VLGCs, and 2 owned and operated VLGCs by a joint venture with a total carrying capacity of approximately 3 million cubic meters. The company was formerly known as BW Gas LPG Holding Limited and changed its name to BW LPG Limited in September 2013. BW LPG Limited was founded in 1935 and is headquartered in Singapore.",Singapore,65 6705 5588,Singapore,[],http://www.bwlpg.com,1,10 Pasir Panjang Road,65 6570 6056,Marine Shipping,36.34,37.18,39.49826,0.02889378,0.3116,,38.26,,551371,,36.34,33.111763,1.05,37.18,,551371,,,,10.16,1591056000,1.58885,,,36.56,2,NOK,13.526607,444356,,,,5090255360,,,898682,5.360804,36.56,36.9,,406100,444356,85,175.52382,,,26,36.86,False,0.2762,63000,38.26,OSL,BW LPG LTD,BW LPG Limited,Europe/Oslo,CEST,False,7200000,EQUITY,BWLPG.OL,finmb_246740269,no_market,,6.454,,0.39815,13.45,-0.004383564,,0.21,,138096992,,,8.358,,,,1577750400,0.31128,378060000,2.725,,0.16254902,4.410146,0.45400003,1640908800,1585612800,,,70321032,6128442880,,,,,,,,,,,,,,https://logo.clearbit.com/bwlpg.com,2004,"No. 17-02, Mapletree Business City",,,,,,
ENDUR,5160,Industrials,"EndÃºr ASA engages in the aquaculture, maritime, and energy businesses in Norway and internationally. The company offers maritime service, and technical ship maintenance and services; and produces integrated concrete feed and work barges for the aquaculture industry. It also engages in the maintenance, modification, installation, fabrication, and reconstruction of oil and gas installations for onshore and offshore. The company was formerly known as Bergen Group ASA and changed its name to EndÃºr ASA in February 2019. EndÃºr ASA was founded in 2007 and is headquartered in Bergen, Norway.",Bergen,47 55 54 24 00,Norway,[],http://www.endur.no,1,DamsgArdsveien 229,,Conglomerates,1.535,1.545,1.0054493,,0,,1.555,,2436494,,1.535,1.6261765,,1.545,,2436494,,,,,,,,,1.5,4,NOK,,595615,,,,426051968,,,3085920,0.80543387,1.5,1.515,,0,595615,3.2,,,,0.532,1.505,False,,0,1.555,OSL,ENDUR ASA,Endur ASA,Europe/Oslo,CEST,False,7200000,EQUITY,ENDUR.OL,finmb_22783429,no_market,,0.734,,-0.01554,-61.882,0.12454212,,,,283091008,,,0.546,,,,1577750400,0.17669001,-15706000,-0.039,,0.16254902,2.7564101,0.70949996,1640908800,1585612800,,,87390757,388246720,,,,,,0.402,,,,,,,,https://logo.clearbit.com/endur.no,249,LaksevAg,,,,,,
ELOP-ME,2316,Technology,"Elop AS designs and develops smart products and solutions for the inspection, asset management, and structural health monitoring of concrete structures. It offers Cobri, a tool that gathers assessment data on critical infrastructure such as bridges, tunnels, and buildings and provides it to owners of critical concrete infrastructure. The company was founded in 2013 and is based in Hamar, Norway.",Hamar,,Norway,[],http://www.elop.no,1,Nordvikvegen 50,,Scientific & Technical Instruments,5.05,5.2,5.2076,,0,,5.219,,103877,,5.05,5.2076,,5.2,,103877,,,,,,,,,5.01,2,NOK,,64823,,,,352217536,,,474851,,5.01,5.069,,,64823,6.2,,,,4.82,5.01,False,,,5.219,OSL,ELOP AS,Elop AS,Europe/Oslo,CEST,False,7200000,EQUITY,ELOP-ME.OL,finmb_622946747,no_market,,,,0,,-0.0382784,,,,70302896,,,,,,,,,,,,0.16254902,,,,,,,,,,,,,,,,,,,,,,https://logo.clearbit.com/elop.no,,,,,,,,
