ticker,zip,sector,longBusinessSummary,city,phone,country,companyOfficers,website,maxAge,address1,industry,address2,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,totalAssets,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,toCurrency,averageVolume10days,expireDate,yield,algorithm,dividendRate,exDividendDate,beta,circulatingSupply,startDate,regularMarketDayLow,priceHint,currency,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,priceToSalesTrailing12Months,dayLow,ask,ytdReturn,askSize,volume,fiftyTwoWeekHigh,forwardPE,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,quoteType,symbol,messageBoardId,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,profitMargins,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,enterpriseValue,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,lastDividendDate,morningStarOverallRating,earningsQuarterlyGrowth,dateShortInterest,pegRatio,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,category,fiveYearAverageReturn,logo_url,fullTimeEmployees,fax,trailingPE,state,underlyingSymbol,underlyingExchangeSymbol,headSymbol,uuid
BWE,0277,Energy,"BW Energy Limited engages in the acquisition, exploration, development, and production of oil and natural gas in Africa. It primarily holds interests in three hydrocarbon licenses in Gabon, Brazil, and Namibia. The company was founded in 2016 and is based in Oslo, Norway.",Oslo,47 23 13 00 00,Norway,[],http://www.bwenergy.no,1,Drammensveien 151,Oil & Gas E&P,,17.67,17.11,15.838387,,0,,18.2,,134838,,17.67,18.344118,,17.11,,134838,,,,,,,,,17.11,2,NOK,84400,,,,4168268288,,,197378,21.223362,17.11,17.79,,,84400,25,,,,7.62,17.79,False,,,18.2,OSL,BW ENERGY LIMITED,BW Energy Limited,Europe/Oslo,CEST,False,7200000,EQUITY,BWE.OL,finmb_144579252,no_market,,21.507,,0.02138,45.273,-0.2753623,,,,234304000,,,1.943,,,,1577750400,0.100880004,4200000,0.02,,0.16381514,9.155945,0.7214,1640908800,1593475200,,,65277178,4223925248,,,,,,,,,,,,,,,https://logo.clearbit.com/bwenergy.no,100,47 23 13 00 01,889.50006,,,,,
BRG,1701,Basic Materials,"Borregaard ASA develops, produces, and sells biomaterials, biochemicals, and fine chemicals in Norway, rest of Europe, the United States, Asia, and internationally. It operates through three segments: BioSolutions, BioMaterials, and Fine Chemicals. The BioSolutions segment provides biopolymers that are used as binding and dispersing agents for a range of applications, such as construction, industrial binders, agrochemicals, and batteries; and biovanillin for flavor and fragrance companies, as well as for the food and beverage industry. This segment also engages in chemicals trading activities. The BioMaterials segment offers specialty cellulose for use as a raw material in the production of cellulose ethers, cellulose acetate, and other specialty products, as well as provides cellulose fibrils for industrial applications. The Fine Chemicals segment provides pharma intermediates and bioethanol. Borregaard ASA was incorporated in 2012 and is headquartered in Sarpsborg, Norway.",Sarpsborg,47 69 11 80 00,Norway,[],http://www.borregaard.com,1,Hjalmar Wessels vei 6,Specialty Chemicals,PO Box 162,141.2,142.6,109.76715,0.016288951,0.6183,,142.6,,56964,,141.2,132.42352,2.3,142.6,,56964,,,,2.3,1592265600,-0.04064,,,140.2,2,NOK,24308,,,,13985986560,,,84379,2.6880622,140.2,140.6,,721000,24308,144,26.24299,,,75,140.4,False,0.0163,391200,142.6,OSL,BORREGAARD ASA,Borregaard ASA,Europe/Oslo,CEST,False,7200000,EQUITY,BRG.OL,finmb_216329283,no_market,,3.144,,0.0715,16.263,0.45846152,,5.35,,99605296,,,29.38,,,,1577750400,0.56839,372000000,3.728,2.3,0.16381514,4.778761,0.07204,1640908800,1593475200,,,91492262,16360555520,,,,,1592265600,,-0.172,,,,,,,,https://logo.clearbit.com/borregaard.com,1103,47 69 11 87 70,37.660942,,,,,
COV,111 22,Healthcare,"ContextVision AB (publ), a medical technology software company, provides image analysis and artificial intelligence software solutions to original equipment manufacturers worldwide. It operates through two segments, Medical Imaging and Digital Pathology. The company offers image enhancement software for 2D/3D/4D ultrasound, radiography, magnetic resonance imaging (MRI), and mammography. Its products include US PLUSView, an image enhancement software product for women's health, general imaging, cardiovascular, and point of care applications; VolarView, an image enhancement software for the handheld ultrasound market segment; GOPiCE, a technology for volumetric image enhancement in real-time; and REALiCE, a volumetric image enhancement and rendering solution for visualization. The company also provides Altumira/Altumira Plus, a solution for various digital radiography systems; GOPView XR2Plus for x-ray systems for human and veterinary examinations; and Orthopedic Package for orthopedic imaging. In addition, it offers GOPView MRI2Plus, an image enhancement solution for MRI; GOPView Mammo3, an image enhancement software for screening and diagnostic mammography; and INIFY Prostate, an AI-based software that outlines and quantifies suspected cancerous areas in a series of prostate biopsies. ContextVision AB (publ) was founded in 1983 and is headquartered in Stockholm, Sweden.",Stockholm,46 87 50 35 50,Sweden,[],http://www.contextvision.com,1,Klara Norra Kyrkogata 31,Health Information Services,,19.6,19.6,18.744135,,0,,21.495,,115927,,19.6,21.605383,,19.6,,115927,,,,,1212969600,1.138546,,,19.6,2,NOK,83059,,,,1585260160,,,178877,,19.6,20.49,,140000,83059,30.9,78.80769,,,5.05,20.4,False,,140000,21.495,OSL,CONTEXTVISION AB,ContextVision AB (publ),Europe/Oslo,CEST,False,7200000,EQUITY,COV.OL,finmb_786673,no_market,,,,0.10281,,1.106952,,0.26,,77367504,,,0.808,,,,1577750400,0.08879,,-0.033,1.5,0.16381514,25.35891,0.7414,1640908800,1593475200,,,20426567,1516402944,,1597795200,10:1,,1212969600,,-0.7,,,,,,,,https://logo.clearbit.com/contextvision.com,47,,,,,,,
BON,0152,Industrials,"Bonheur ASA, together with its subsidiaries, engages in the renewable energy, shipping/offshore wind, and cruise businesses primarily in Norway and internationally. The company's Renewable Energy segment develops, constructs, and operates wind farms with an installed capacity of 679 MW. Its Shipping/Offshore Wind segment owns and operates three self-propelled jack-up vessels for the transportation, installation, and service of offshore wind turbines. The company's Cruise segment owns and operates four cruise ships with an overall berth capacity of approximately 3,700 passengers, as well as operates river cruise vessel. Its Other Investments segment offers publications; PR software services; and software as a service-based Web and social monitoring solutions for small and medium businesses to leverage and understand online data. Bonheur ASA was incorporated in 1897 and is headquartered in Oslo, Norway.",Oslo,47 22 34 10 00,Norway,[],http://www.bonheur.no,1,Fred. Olsens gate 2,Conglomerates,,222.5,222.5,210.28322,0.019325843,,,224,,28813,,222.5,234.29411,4.3,222.5,,28813,,,,4.3,1590624000,0.958128,,,222.5,2,NOK,4157,,,,9463348224,,,28097,1.2866957,222.5,223,,50900,4157,250,,,2.64,134,222.5,False,0.019299999,100000,224,OSL,BONHEUR ASA,Bonheur ASA,Europe/Oslo,CEST,False,7200000,EQUITY,BON.OL,finmb_878177,no_market,,1.909,,-0.0892,17.012,0.1851852,,,,42531900,,,142.862,,,,1577750400,0.23837,-656028032,-15.424,4.3,0.16381514,1.5574471,0.53275,1640908800,1593475200,,,19534048,14037946368,,1149120000,4:1,,1590624000,,,,,,,,,,https://logo.clearbit.com/bonheur.no,3935,,,,,,,
BWLPG,117438,Industrials,"BW LPG Limited, an investment holding company, engages in shipowning and chartering activities worldwide. It operates through three segments: Very Large Gas Carriers (VLGCs), Large Gas Carriers (LGCs), and Product Services. The company is involved in the transportation of liquefied petroleum gas to oil companies, and trading and utility companies; and product trading and delivery activities. As of February 28, 2020, it had a fleet of 47 vessels, including 35 owned VLGCs, 10 chartered VLGCs, and 2 owned and operated VLGCs by a joint venture with a total carrying capacity of approximately 3 million cubic meters. The company was formerly known as BW Gas LPG Holding Limited and changed its name to BW LPG Limited in September 2013. BW LPG Limited was founded in 1935 and is headquartered in Singapore.",Singapore,65 6705 5588,Singapore,[],http://www.bwlpg.com,1,10 Pasir Panjang Road,Marine Shipping,"No. 17-02, Mapletree Business City",39.72,40,33.94584,0.027693857,0.3516,,40.64,,458551,,39.72,38.01294,1.1,40,,458551,,,,11.52,1598918400,1.571428,,,39.7,2,NOK,231163,,,,5573594624,,,634190,5.61119,39.7,40.34,,406100,231163,85,192.19049,,,26,40.3,False,0.2901,63000,40.64,OSL,BW LPG LTD,BW LPG Limited,Europe/Oslo,CEST,False,7200000,EQUITY,BWLPG.OL,finmb_246740269,no_market,,6.577,,0.41653,13.236,-0.288189,,0.21,,138096992,,,8.564,,,,1577750400,0.31128,413743008,2.983,0.15,0.16381514,4.712751,0.45400003,1640908800,1593475200,,,74743080,6532662784,,,,,1598918400,,1.352,,,,,,,,https://logo.clearbit.com/bwlpg.com,2004,65 6570 6056,13.530004,,,,,
CRAYON,0484,Technology,"Crayon Group Holding ASA, together with its subsidiaries, operates as an IT advisory company in software and digital transformation services. It operates through Software & Cloud Direct, Software & Cloud Channel, Software & Cloud Economics, and Consulting segments. The company offers license management and consultancy services; SAM as a Service, a single hosted managed service that enables its clients to control software and technology assets across their IT environment; and SAM-iQ, which provides a centralized program interface that allows its customers to analyze, review, and manage their SAM environment. It also provides software and cloud economic services, including license management and solutions across large and mid-market enterprises, public sector, and cloud and service provider markets, as well as deployment planning services. In addition, the company offers consulting services in the areas of cloud architecture and deployment solutions, licensing environment optimization and management, security, datacenter systems, infrastructure and networking, backup and data recovery, servers environments, and storage and virtualization solutions; and managed services, such as outsourced license lifecycle management, project management, audit simulation and support, and infrastructure management and support services. Further, it provides training, events, and development programs for IT professionals. The company has operations in the Nordics, Europe, the Asia-Pacific, the Middle East and Africa, and the United States. The company has a strategic collaboration agreement with Amazon Web Services. Crayon Group Holding ASA is headquartered in Oslo, Norway.",Oslo,47 22 89 10 00,Norway,[],http://www.crayon.com/nb-NO,1,Sandakerveien 114A,Information Technology Services,,116.4,116.4,73.08394,,0,,118.4,,190056,,116.4,104.45294,,116.4,,190056,,,,,,1.435576,,,115.4,2,NOK,91574,,,,9496351744,,,224273,0.55746037,115.4,117.2,,0,91574,126,109.34579,,,29.8,116.6,False,,0,118.4,OSL,CRAYON GROUP HLD,Crayon Group Holding ASA,Europe/Oslo,CEST,False,7200000,EQUITY,CRAYON.OL,finmb_46100086,no_market,,0.503,,0.00024000001,44.501,2.0175438,,1.07,,81165400,,,12.492,,,,1577750400,0.21603,4026000,0.051,,0.16381514,9.365994,0.60696,1640908800,1593475200,,,36282713,8560248832,,,,,,,1.309,,,,,,,,https://logo.clearbit.com/crayon.com,1653,,2294.1177,,,,,
BOUVET,0369,Technology,"Bouvet ASA provides information technology, digital communication, and enterprise management services in Norway, Sweden, and internationally. The company designs, develops, and provides advisory services on IT solutions and digital communication. Bouvet ASA was founded in 2002 and is based in Oslo, Norway.",Oslo,47 23 40 60 00,Norway,[],http://www.bouvet.no,1,SÃ¸rkedalsveien 8,Information Technology Services,,606,620,499.47446,0.013613861,0.4054,,620,,5085,,606,588.58826,8.25,620,,5085,,,,8.25,1590105600,0.810344,,,608,2,NOK,828,,,,6354690048,,,3771,2.7789783,608,620,,166400,828,632,44.797688,,3.96,291,618,False,0.0136,27300,620,OSL,BOUVET ASA,Bouvet ASA,Europe/Oslo,CEST,False,7200000,EQUITY,BOUVET.OL,finmb_34102981,no_market,,2.63,,0.09205,20.64,1.0866666,,13.84,,10249500,,,36.035,,,,1577750400,0.31916,210491008,20.357,8.25,0.16381514,17.205494,0.29916,1640908800,1593475200,,,7622373,6013655040,,,,,1590105600,,0.412,,,,,,,,https://logo.clearbit.com/bouvet.no,1594,,30.456354,,,,,
DNB,0191,Financial Services,"DNB ASA provides various banking products and services for retail and corporate customers in Norway and internationally. The company offers savings and investment products, including saving accounts, home savings products, equities, retirement savings, fixed rate deposits, exchange traded products, bonds and commercial papers, and asset management services; and loans, such as home mortgages, car and consumer loans, trade finance, and export financing, as well as overdraft facilities, bank guarantees, and leasing and factoring services. It also provides various cards; a range of insurance products comprising car, boat, motor vehicle, household contents, home, holiday home, travel, and life insurance products, as well as pet insurance for cats and dogs; and pension plans. In addition, the company offers investment banking advisory and financing services, such as mergers and acquisitions, and equity and debt capital markets for corporations and private equity firms; and foreign exchange and treasury, cash management, research, commodities, equities, corporate finance, interest rates, securities, real estate broking, and internet and mobile banking services. It offers its products and services to various sectors, including energy; financial institutions; healthcare; manufacturing; packaging and forest products; seafood; shipping, offshore, and logistics; and telecom, media, and technology. The company distributes its products and services through its branches, in-store postal and banking outlets, and post office counters. DNB ASA was founded in 1822 and is headquartered in Oslo, Norway.",Oslo,,Norway,[],http://www.dnb.no,1,Dronning Eufemias gate 30,Banks—Regional,BjÃ¸rvika,135.8,136.8,129.82153,0.06627393,0,,136.95,,1533359,,135.8,135.94559,9,136.8,,1533359,,,,,1588118400,0.932881,,,135.15,2,NOK,560266,,,,211780550656,,,1620375,4.3363886,135.15,136.65,,246400,560266,178.1,9.180108,,,94.26,136.6,False,,327700,136.95,OSL,DNB ASA,DNB ASA,Europe/Oslo,CEST,False,7200000,EQUITY,DNB.OL,finmb_9778651,no_market,,19.64,,0.43046,,-0.1423114,,14.88,,1550370048,,,154.097,,,,1577750400,0.37327,19740000256,12.557,9,0.16381514,0.8864547,0.42226002,1640908800,1593475200,,,884833091,959174279168,,,,,1588118400,,-0.182,,,,,,,,https://logo.clearbit.com/dnb.no,9020,,10.878395,,,,,
DOF,5392,Energy,"DOF ASA, together with its subsidiaries, owns and operates a fleet of offshore vessels worldwide. The company operates through three segments: Platform Supply Vessel (PSV), Anchor Handling Tug Supply Vessel (AHTS), and Subsea Vessel and Subsea Engineering. It operates a fleet of PSVs that are used to transport oilfield products and supplies to offshore drilling and production facilities; AHTS used to set anchors for drilling rigs, and tow mobile drilling rigs and equipment from one location to another; and subsea vessels used for a range of subsea services. The company also provides subsea services comprising project management, engineering, construction and installation, life-of-field, decommissioning/field abandonment, and survey and positioning, as well as inspection, repair, and maintenance services. In addition, it offers marine management services, such as crewing, chartering, mobilization, maintenance, refurbishment, projects and new building, and compliance services. As of December 31, 2019, the company operated a fleet of 67 vessels, including 16 PSVs, 20 AHTSs, and 31 subsea/construction vessels, as well as 72 remote operated vehicles and 2 autonomous underwater vehicles. It operates in Brazil, the United Kingdom, Australia, Norway, Canada, the United States, Guyana, the Philippines, Angola, Argentina, and internationally. The company was founded in 1981 and is headquartered in StorebÃ¸, Norway.",StorebÃ¸,47 56 18 10 00,Norway,[],http://www.dof.no,1,Alfabygget,Oil & Gas Equipment & Services,,0.48,0.4855,0.6250365,,0,,0.4855,,309415,,0.48,0.54167646,,0.4855,,309415,,,,,1242432000,2.123152,,,0.4625,4,NOK,432530,,,,146649072,,,566201,0.022430265,0.4625,0.475,,4700000,432530,2.8,0.56058824,,,0.4625,0.4735,False,,1357000,0.4855,OSL,DOF ASA,DOF ASA,Europe/Oslo,CEST,False,7200000,EQUITY,DOF.OL,finmb_884333,no_market,,2.822,,-1.0703601,9.423,-0.5555556,,0.85,,307763008,,,-2.801,,,,1577750400,0.04079,-6998000128,-22.151,1.5,0.16381514,,0.57965,1640908800,1593475200,,,106021200,18450726912,,1527206400,1:10,,1242432000,,,,,,,,,,https://logo.clearbit.com/dof.no,3134,47 56 18 10 06,,,,,,
EAM,0287,Utilities,"EAM Solar ASA acquires, owns, and operates solar power plants in Europe. The company sells electricity under long-term fixed price sales contracts. It owns and operates four power plants with a combined installed capacity of 4.0 MW in Italy. The company was founded in 2011 and is based in Oslo, Norway.",Oslo,47 91 61 10 09,Norway,[],http://www.eamsolar.no,1,Dronningen 1,Utilities—Renewable,,12.5,12.5,12.327591,0.00088,0,,12.6,,9393,,12.5,12.35,0.011,12.5,,9393,,,,,1399852800,0.66995,,,12.5,2,NOK,5444,,,,85995240,,,8713,,12.5,12.55,,94600,5444,22,,,,6.66,12.3,False,,280300,12.6,OSL,EAM SOLAR ASA,EAM Solar ASA,Europe/Oslo,CEST,False,7200000,EQUITY,EAM.OL,finmb_142079547,no_market,,,,0.88075995,,-0.3386243,,,,6852210,,,2.096,,,,1577750400,0.28467,,-0.152,3,0.16381514,5.9875956,0.42780998,1640908800,1593475200,,,4270640,85652624,,,,,1399852800,,,,,,,,,,https://logo.clearbit.com/eamsolar.no,,,,,,,,
ELK,0277,Basic Materials,"Elkem ASA manufactures and sells metals and materials in Norway and internationally. The company operates through four segments: Silicones, Silicon Materials, Foundry Products and Carbon. Its products include silicones, ferrosilicones, foundry alloys, carbon materials, and microsilica products. The company also engages in sale of electric power, as well as supplies heat in the form of steam and hot water. Its products are used in chemical applications, as well as construction, refractory, and oilfield industries. The company was founded in 1904 and is headquartered in Oslo, Norway. Elkem ASA is a subsidiary of Bluestar Elkem International Co., Ltd. S.A.",Oslo,47 22 45 01 00,Norway,[],http://www.elkem.com,1,Drammensveien 169,Specialty Chemicals,,21.5,22.1,17.968904,0.027906979,0.75949997,,23.1,,578286,,21.5,18.768824,0.6,22.1,,578286,,,,0.6,1589155200,2.101515,,,22.1,2,NOK,1312010,,,,13300372480,,,623172,0.597501,22.1,22.92,,0,1312010,26.4,5.2,,,10.92,22.88,False,0.0294,0,23.1,OSL,ELKEM ASA,Elkem ASA,Europe/Oslo,CEST,False,7200000,EQUITY,ELK.OL,finmb_731504,no_market,,0.951,,0.02066,9.278,-0.06581348,,4.4,,581310016,,,21.744,,,,1577750400,0.29434,460000000,0.79,0.6,0.16381514,1.0522443,0.58916,1640908800,1593475200,,,238610457,21162172416,,,,,1589155200,,,,,,,,,,https://logo.clearbit.com/elkem.com,6370,47 22 45 01 55,28.962023,,,,,
EPIC-ME,059818,Energy,"Epic Gas Ltd, together with its subsidiaries, owns and operates a fleet of pressurized gas carriers in Southeast Asia, Europe, West Africa, and the United States. As of February 13, 2020, it operated a fleet of 44 vessels that provide seaborne services for the transportation of liquefied petroleum gas and petrochemicals, which serve as a link in the international gas and petrochemical supply chains of various oil and commodity trading houses. The company also offers commercial and technical management services for various ship owners. In addition, it engages in vessel owning and chartering activities. Epic Gas Ltd was incorporated in 2012 and is headquartered in Singapore. Epic Gas Ltd is a subsidiary of BW Group Limited.",Singapore,65 6230 7801,Singapore,[],http://www.epic-gas.com,1,8 Eu Tong Sen Street,Oil & Gas Midstream,"No.22-89, The Central",14.8,14.8,14.326278,,0,,14.8,,145,,14.8,15.3,,14.8,,145,,,,,,0.261699,,,14.8,2,NOK,350,,,,1577680000,,,274,8.478767,14.8,14.7,,,350,19,493.33334,,,13.4,14,False,,,14.8,OSL,EPIC GAS LTD,Epic Gas Ltd.,Europe/Oslo,CEST,False,7200000,EQUITY,EPIC-ME.OL,finmb_254340014,no_market,,10.177,,0.01594,39.247,0.057142854,,0.03,,106600000,,,2.764,,,,1577750400,0,2965409,0.028,,0.16381514,5.354559,0.83456004,1640908800,1593475200,,,17242550,1893680000,,,,,,,,,,,,,,,https://logo.clearbit.com/epic-gas.com,,,528.5714,,,,,
EIOF,5443,Energy,"Eidesvik Offshore ASA operates as a shipping company. It operates through Seismic, Subsea/Offshore Wind, Platform Supply, and Other segments. The company delivers shipping services to customers who produce seismic data; subsea inspection, maintenance, repair, and construction services for subsea work in the oil industry; and shipping services the offshore oil industry. It operates 6 large supply and one smaller supply vessels; a fleet of 4 vessels related to seismic; and a fleet of 4 vessels related to subsea/wind. The company is headquartered in BÃ¸mlo, Norway. Eidesvik Offshore ASA is a subsidiary of Eidesvik Invest AS.",BÃ¸mlo,47 53 44 80 00,Norway,[],http://www.eidesvik.no,1,Vestvikveien 1,Oil & Gas Equipment & Services,,2.3,2.32,3.2721899,,0,,2.54,,46877,,2.3,2.7735293,,2.32,,46877,,,,,1400198400,0.932266,,,2.32,4,NOK,14015,,,,154132000,,,18871,0.26579523,2.32,2.5,,182600,14015,6.12,-0.5414847,,,2.1,2.48,False,,1000000,2.54,OSL,EIDESVIK OFFSHORE,Eidesvik Offshore ASA,Europe/Oslo,CEST,False,7200000,EQUITY,EIOF.OL,finmb_22071229,no_market,,3.443,,-1.17882,14.695,-0.60884356,,-4.58,,62150000,,,10.379,,,,1577750400,0.05849,-683587008,-11.002,1,0.16381514,0.23894402,0.7988,1640908800,1593475200,,,11241070,1996736000,,,,,1400198400,,-0.156,,,,,,,,https://logo.clearbit.com/eidesvik.no,514,,,,,,,
ENDUR,5160,Industrials,"EndÃºr ASA engages in the aquaculture, maritime, and energy businesses in Norway and internationally. The company offers maritime service, and technical ship maintenance and services; and produces integrated concrete feed and work barges for the aquaculture industry. It also engages in the maintenance, modification, installation, fabrication, and reconstruction of oil and gas installations for onshore and offshore. The company was formerly known as Bergen Group ASA and changed its name to EndÃºr ASA in February 2019. EndÃºr ASA was founded in 2007 and is headquartered in Bergen, Norway.",Bergen,47 55 54 24 00,Norway,[],http://www.endur.no,1,DamsgArdsveien 229,Conglomerates,LaksevAg,1.39,1.4,1.1374379,,0,,1.51,,1563452,,1.39,1.3455882,,1.4,,1563452,,,,,,,,,1.365,4,NOK,1338411,,,,417559232,,,1759087,0.83650875,1.365,1.47,,0,1338411,3.2,,,,0.532,1.445,False,,0,1.51,OSL,ENDUR ASA,Endúr ASA,Europe/Oslo,CEST,False,7200000,EQUITY,ENDUR.OL,finmb_22783429,no_market,,0.921,,-0.041389998,-27.932,-0.09240925,,,,283091008,,,0.508,,,,1577750400,0.17669001,-26863000,-0.113,,0.16381514,2.9035432,0.70949996,1640908800,1593475200,,,153763717,459733152,,,,,,,,,,,,,,,https://logo.clearbit.com/endur.no,176,,,,,,,
ELOP-ME,2316,Technology,"Elop AS designs and develops smart products and solutions for the inspection, asset management, and structural health monitoring of concrete structures. It offers Cobri, a tool that gathers assessment data on critical infrastructure such as bridges, tunnels, and buildings and provides it to owners of critical concrete infrastructure. The company was founded in 2013 and is based in Hamar, Norway.",Hamar,47 41 64 13 00,Norway,[],http://www.elop.no,1,Nordvikvegen 50,Scientific & Technical Instruments,,8.08,8,5.768875,,0,,8.5,,552538,,8.08,6.1440296,,8,,552538,,,,,,,,,8,2,NOK,141748,,,,594059456,,,449941,,8,8.45,,,141748,9.22,,,,4.82,8.44,False,,,8.5,OSL,ELOP AS,Elop AS,Europe/Oslo,CEST,False,7200000,EQUITY,ELOP-ME.OL,finmb_622946747,no_market,,,,0,,0.5597029,,,,70302896,,,,,,,,,,,,0.16381514,,,,,,,,,,,,,,,,,,,,,,,https://logo.clearbit.com/elop.no,,,,,,,,
EXTX-ME,0379,Healthcare,"EXACT Therapeutics AS, a clinical stage biotech company, develops a technology platform for targeted therapeutic enhancement, Acoustic Cluster Therapy (ACT). The ACT sonoporation is an approach to ultrasound-mediated, targeted drug enhancement with the potential to amplify the clinical utility of a range of therapeutic agents across various indications, including within oncology (chemotherapy and immunotherapy), infectious diseases, and neurological conditions. The company was founded in 2012 and is based in Oslo, Norway.",Oslo,,Norway,[],http://www.exact-tx.com,1,Ullernchausseen 64,Biotechnology,,32.5,32.5,35.460785,,0,,32.5,,942,,32.5,34.50662,,32.5,,942,,,,,,,,,32.5,2,NOK,100,,,,973953472,,,6835,131.12013,32.5,35,,,100,53.592,,,,26,33,False,,,32.5,OSL,EXACT THERAPEUTICS,EXACT Therapeutics AS,Europe/Oslo,CEST,False,7200000,EQUITY,EXTX-ME.OL,finmb_582869177,no_market,,131.12,,-2.01696,-62.053,0.021241903,,,,29967800,,,1.404,,,,1577750400,,-14981884,-0.5,,0.16381514,23.148148,,1640908800,,,,27906568,973951872,,1595808000,250:1,,,,,,,,,,,,https://logo.clearbit.com/exact-tx.com,4,,,,,,,
ELE,0250,Basic Materials,"Element ASAengages  acquisition and development of mineral resources. It holds interests in the nickel-cobalt-mineralized areas on the island of Mindoro in the Philippines. The company's main assets are currently the Mindoro Nickel Project, PALCapital Ventures. The company was formerly known as Intex Resources ASA and changed its name to Element ASA in October 2017. Element ASA was incorporated in 1996 and is headquartered in Oslo, Norway.",Oslo,47 23 08 23 08,Norway,[],http://www.elementasa.com,1,Grundingen 2,Other Industrial Metals & Mining,,4.35,4.5,4.580591,,0,,4.5,,181241,,4.35,4.514559,,4.5,,181241,,,,,,3.429187,,,4.2,4,NOK,21410,,,,82591248,,,200295,529.4311,4.2,4.365,,0,21410,9.5,,,,2.498,4.215,False,,0,4.5,OSL,ELEMENT ASA,Element ASA,Europe/Oslo,CEST,False,7200000,EQUITY,ELE.OL,finmb_22929109,no_market,,566.974,,0,-35.112,-0.09344059,,,,18899600,,,0.304,,,,1577750400,0.00629,-5436000,-0.444,,0.16381514,14.375,0.28688,1640908800,1593475200,,,11370510,88448000,,1556150400,1:20,,,,,,,,,,,,https://logo.clearbit.com/elementasa.com,2,,,,,,,
GENT-ME,1596,Healthcare,"Gentian Diagnostics AS researches, develops, and produces biochemical reagents for use in medical diagnostics and research in Europe, Asia, the United States. It offers in-vitro diagnostic (IVD) and molecular diagnostic tests for medical laboratories and universities. The company's products include Plasma Calprotectin, a particle enhanced turbidimetric immunoassay (PETIA) for quantitative analysis of total calprotectin in plasma; and Cystatin C, a PETIA for use on a range of clinical chemistry analyzers. . It also offers Canine CRP, an IVD test for the quantitative determination of Canine CRP in dog serum plasma; PreTect HPV-Proofer, an assay for the qualitative detection of the presence of human papillomavirus; and PreTect SEE, a control test for NILM cytology. The company was founded in 2001 and is headquartered in Moss, Norway.",Moss,47 99 33 99 05,Norway,[],http://www.gentian.com,1,Bjornasveien 5,Diagnostics & Research,,70.5,71,57.49635,,0,,73.5,,4447,,70.5,72.97059,,71,,4447,,,,,,0.939975,,,70.5,2,NOK,5789,,,,1132098432,,,11995,16.122395,70.5,73.5,,,5789,89,,,,38,70.5,False,,,73.5,OSL,GENTIAN DIAGNOSTIC,Gentian Diagnostics AS,Europe/Oslo,CEST,False,7200000,EQUITY,GENT-ME.OL,finmb_413765020,no_market,,12.669,,-0.27326,-44.428,0.49779725,,,,15402700,,,13.192,,,,1577750400,0.26522,-19188000,-1.248,,0.16381514,5.5715585,0.48766997,1640908800,1593475200,,,6813392,889620800,,,,,,,,,,,,,,,https://logo.clearbit.com/gentian.com,46,,,,,,,
FKRAFT,5147,Utilities,"Fjordkraft Holding ASA, together with its subsidiaries, engages in the purchase, sale, and portfolio management of electrical power to households, private and public companies, and municipalities in Norway. It operates through Consumer and Business segments. The Consumer segment sells electrical power and related services to private consumers. The Business segment sells electrical power and related services to business consumers. The company also provides mobile phone services to private customers. Fjordkraft Holding ASA was founded in 2001 and is headquartered in Bergen, Norway.",Bergen,47 23 00 61 00,Norway,[],http://www.fjordkraft.no,1,Folke Bernadottes Vei 38,Utilities—Regulated Electric,,89.8,90,80.17372,0.033407573,0.71089995,,91.7,,127118,,89.8,91.9147,3,90,,127118,,,,3,1587600000,0.289848,,,90,2,NOK,51367,,,,10422517760,,,177228,2.031767,90,91.2,,0,51367,108.4,,,,46.1,91,False,0.0328,0,91.7,OSL,FJORDKRAFT HLDG,Fjordkraft Holding ASA,Europe/Oslo,CEST,False,7200000,EQUITY,FKRAFT.OL,finmb_551325968,no_market,,1.765,,0.08692,14.42,0.8083005,,,,114282000,,,9.122,,,,1577750400,0.41085997,445884000,4.222,3,0.16381514,9.9978075,0.3204,1640908800,1593475200,,,80039831,9053135872,,,,,1587600000,,0.348,,,,,,,,https://logo.clearbit.com/fjordkraft.no,293,,21.601135,,,,,
