ticker,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,country,companyOfficers,website,maxAge,address1,fax,industry,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,totalAssets,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,toCurrency,averageVolume10days,expireDate,yield,algorithm,dividendRate,exDividendDate,beta,circulatingSupply,startDate,regularMarketDayLow,priceHint,currency,trailingPE,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,priceToSalesTrailing12Months,dayLow,ask,ytdReturn,askSize,volume,fiftyTwoWeekHigh,forwardPE,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,quoteType,symbol,messageBoardId,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,profitMargins,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,enterpriseValue,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,morningStarOverallRating,earningsQuarterlyGrowth,dateShortInterest,pegRatio,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,category,fiveYearAverageReturn,logo_url,address2,underlyingSymbol,underlyingExchangeSymbol,headSymbol,uuid,state
BRG,1701,Basic Materials,1103,"Borregaard ASA develops, produces, and sells biomaterials, biochemicals, and fine chemicals in Norway, rest of Europe, the United States, Asia, and internationally. It operates through three segments: BioSolutions, BioMaterials, and Fine Chemicals. The BioSolutions segment provides biopolymers that are used as binding and dispersing agents for a range of applications, such as construction, industrial binders, agrochemicals, and batteries; and biovanillin for flavor and fragrance companies, as well as for the food and beverage industry. This segment also engages in chemicals trading activities. The BioMaterials segment offers specialty cellulose for use as a raw material in the production of cellulose ethers, cellulose acetate, and other specialty products, as well as provides cellulose fibrils for industrial applications. The Fine Chemicals segment provides pharma intermediates and bioethanol. Borregaard ASA was incorporated in 2012 and is headquartered in Sarpsborg, Norway.",Sarpsborg,47 69 11 80 00,Norway,[],http://www.borregaard.com,1,Hjalmar Wessels vei 6,47 69 11 87 70,Specialty Chemicals,121.6,121.2,102.0029,0.018914474,0.6183,,125.8,,54731,,121.6,114.55294,2.3,121.2,,54731,,,,2.3,1592265600,0,,,121.2,2,NOK,33.3691,67777,,,,12389394432,,,84964,2.3812022,121.2,124.6,,721000,67777,126,23.252337,,,75,124.2,False,0.0189,391200,125.8,OSL,BORREGAARD ASA,Borregaard ASA,Europe/Oslo,CEST,False,7200000,EQUITY,BRG.OL,finmb_216329283,no_market,,2.769,,0.0715,14.323,0.38496578,,5.35,,99593200,,,29.38,,,,1577750400,0.56839,372000000,3.728,,0.18023336,4.2341733,0.07204,1640908800,1593475200,,,91484295,14408529920,,,,,,-0.172,,,,,,,,https://logo.clearbit.com/borregaard.com,PO Box 162,,,,,
BWE,0277,Energy,100,"BW Energy Limited engages in the acquisition, exploration, development, and production of oil and natural gas in Africa. It primarily holds interests in three hydrocarbon licenses in Gabon, Brazil, and Namibia. The company was founded in 2016 and is based in Oslo, Norway.",Oslo,47 23 13 00 00,Norway,[],http://www.bwenergy.no,1,Drammensveien 151,47 23 13 00 01,Oil & Gas E&P,17.25,17.3,15.171767,,0,,17.95,,101663,,17.25,17.657118,,17.3,,101663,,,,,,,,,17.01,2,NOK,57.766994,91483,,,,4182326528,,,394815,14.809938,17.01,17.9,,,91483,25,,,,7.62,17.73,False,,,17.95,OSL,BW ENERGY LIMITED,BW Energy Limited,Europe/Oslo,CEST,False,7200000,EQUITY,BWE.OL,finmb_144579252,no_market,,11.82,,0.20538001,20.707,-0.28571427,,,,234304000,,,1.938,,,,1577750400,0.100880004,58000000,0.309,,0.18023336,9.210526,0.7214,1640908800,1585612800,,,56150662,3337949952,,,,,,,,,,,,,,https://logo.clearbit.com/bwenergy.no,,,,,,
BOUVET,0369,Technology,1575,"Bouvet ASA provides information technology, digital communication, and enterprise management services in Norway, Sweden, and internationally. The company designs, develops, and provides advisory services on IT solutions and digital communication. Bouvet ASA was founded in 2002 and is based in Oslo, Norway.",Oslo,47 23 40 60 00,Norway,[],http://www.bouvet.no,1,SÃ¸rkedalsveien 8,,Information Technology Services,564,566,453.69565,0.01462766,0.7019,,570,,3835,,564,537.94116,8.25,566,,3835,,,,8.25,1590105600,0.741579,,,560,2,NOK,30.661268,13041,,,,5821602304,,,7409,2.635453,560,572,,166400,13041,574,41.040462,,4.1,290,568,False,0.0146,27300,570,OSL,BOUVET ASA,Bouvet ASA,Europe/Oslo,CEST,False,7200000,EQUITY,BOUVET.OL,finmb_34102981,no_market,,2.551,,0.08663999,22.021,0.8552631,,13.84,,10249300,,,37.632,,,,1577750400,0.31916,191378000,18.525,,0.18023336,15.093537,0.29916,1640908800,1585612800,,,7590394,5635838464,,,,,,0.21,,,,,,,,https://logo.clearbit.com/bouvet.no,,,,,,
DNO,0250,Energy,1318,"DNO ASA engages in the exploration, development, and production of oil and gas assets in the Middle East and the North Sea. Its flagship project is the Tawke field that is located in the Kurdistan region of Iraq. As of December 31, 2019, its proven reserves consisted of 205.6 million barrels of oil equivalent (MMboe); proven and probable reserves included 344.8 MMboe; and proven, probable, and possible reserves consisted of 539.9 MMboe. The company was founded in 1971 and is headquartered in Oslo, Norway.",Oslo,47 23 23 84 80,Norway,[],http://www.dno.no,1,Dokkveien 1,47 23 23 84 81,Oil & Gas E&P,5.422,5.488,5.4574604,0.008115087,,,5.54,,4148594,,5.422,5.883647,0.044,5.488,,4148594,,,,0.4,1571961600,1.96806,,,5.42,2,NOK,,3356257,,,,5392193536,,,7643571,6.9183903,5.42,5.536,,728400,3356257,14.755,16.751514,,,2.5,5.53,False,0.0714,162000,5.54,OSL,DNO ASA,DNO ASA,Europe/Oslo,CEST,False,7200000,EQUITY,DNO.OL,finmb_878127,no_market,,7.602,,-0.19066,18.602,-0.53318983,,0.33,,975433024,,,0.988,,,,1577750400,0.14917,-148600000,-0.15,,0.18023336,5.595142,0.40448,1640908800,1593475200,,,536593797,5924781568,,1150416000,4:1,,,,,,,,,,,https://logo.clearbit.com/dno.no,Aker Brygge,,,,,
BWLPG,117438,Industrials,2004,"BW LPG Limited, an investment holding company, engages in shipowning and chartering activities worldwide. It operates through three segments: Very Large Gas Carriers (VLGCs), Large Gas Carriers (LGCs), and Product Services. The company is involved in the transportation of liquefied petroleum gas to oil companies, and trading and utility companies; and product trading and delivery activities. As of February 28, 2020, it had a fleet of 47 vessels, including 35 owned VLGCs, 10 chartered VLGCs, and 2 owned and operated VLGCs by a joint venture with a total carrying capacity of approximately 3 million cubic meters. The company was formerly known as BW Gas LPG Holding Limited and changed its name to BW LPG Limited in September 2013. BW LPG Limited was founded in 1935 and is headquartered in Singapore.",Singapore,65 6705 5588,Singapore,[],http://www.bwlpg.com,1,10 Pasir Panjang Road,65 6570 6056,Marine Shipping,36.2,36.9,36.840073,0.029005524,0.3116,,37.16,,431613,,36.2,35.472355,1.05,36.9,,431613,,,,10.16,1591056000,1.58885,,,36.24,2,NOK,13.299084,228369,,,,5004635136,,,850880,5.270633,36.24,36.28,,406100,228369,85,172.57144,,,26,36.24,False,0.28530002,63000,37.16,OSL,BW LPG LTD,BW LPG Limited,Europe/Oslo,CEST,False,7200000,EQUITY,BWLPG.OL,finmb_246740269,no_market,,6.434,,0.39815,13.408,-0.1791383,,0.21,,138096992,,,8.358,,,,1577750400,0.31128,378060000,2.725,,0.18023336,4.3359656,0.45400003,1640908800,1585612800,,,70321032,6109083136,,,,,,,,,,,,,,https://logo.clearbit.com/bwlpg.com,"No. 17-02, Mapletree Business City",,,,,
CARA,,Healthcare,,"Carasent ASA provides cloud-based medical record services to the private and public health care industry in Nordic region. The company develops Webdoc, a cloud based EMR-system; and develops a digital platform for interactive health care to communicate through video, tele and health meetings, chat, and other online channels. It also provides training and consulting services. The company was formerly known as Apptix ASA and changed its name to Carasent ASA in May 2019. The company was founded in 1997 and is based in Oslo, Norway.",Oslo,,Norway,[],http://carasent.com,1,c/o Advokatsenteret Kristian,,Health Information Services,25,26,16.64855,,0,,26,,87959,,25,21.5,,26,,87959,,,,,1525996800,0.440766,,,24.5,2,NOK,,189541,,,,999591488,,,76628,17.140947,24.5,24.8,,,189541,26.7,,,,7.5,24.6,False,,,26,OSL,CARASENT ASA,Carasent ASA,Europe/Oslo,CEST,False,7200000,EQUITY,CARA.OL,finmb_4222700,no_market,,17.576,,-0.06305,93.078,1.7412281,,,,40633800,,,2.342,,,,1577750400,0.05599,-3677000,-0.09,,0.18023336,10.503843,0.62675,1640908800,1593475200,,,15670096,1024972032,,1558569600,1:4,,,,,,,,,,,https://logo.clearbit.com/carasent.com,Augusts gate 14,,,,,
DNB,0191,Financial Services,9020,"DNB ASA provides various banking products and services for retail and corporate customers in Norway and internationally. The company offers savings and investment products, including saving accounts, home savings products, equities, retirement savings, fixed rate deposits, exchange traded products, bonds and commercial papers, and asset management services; and loans, such as home mortgages, car and consumer loans, trade finance, and export financing, as well as overdraft facilities, bank guarantees, and leasing and factoring services. It also provides various cards; a range of insurance products comprising car, boat, motor vehicle, household contents, home, holiday home, travel, and life insurance products, as well as pet insurance for cats and dogs; and pension plans. In addition, the company offers investment banking advisory and financing services, such as mergers and acquisitions, and equity and debt capital markets for corporations and private equity firms; and foreign exchange and treasury, cash management, research, commodities, equities, corporate finance, interest rates, securities, real estate broking, and internet and mobile banking services. It offers its products and services to various sectors, including energy; financial institutions; healthcare; manufacturing; packaging and forest products; seafood; shipping, offshore, and logistics; and telecom, media, and technology. The company distributes its products and services through its branches, in-store postal and banking outlets, and post office counters. DNB ASA was founded in 1822 and is headquartered in Oslo, Norway.",Oslo,,Norway,[],http://www.dnb.no,1,Dronning Eufemias gate 30,,Banks—Regional,142,142.7,133.35515,0.06338028,0,,143.85,,997653,,142,141.70882,9,142.7,,997653,,,,,1588118400,0.975609,,,142.35,2,NOK,11.43187,519450,,,,222555619328,,,2521123,4.5570173,142.35,143.55,,246400,519450,178.1,9.647178,,,94.26,143.55,False,,327700,143.85,OSL,DNB ASA,DNB ASA,Europe/Oslo,CEST,False,7200000,EQUITY,DNB.OL,finmb_9778651,no_market,,19.837,,0.43046,,-0.00035202503,,14.88,,1550370048,,,154.097,,,,1577750400,0.37327,19740000256,12.557,,0.18023336,0.9315561,0.42226002,1640908800,1593475200,,,889201447,968812658688,,,,,,-0.182,,,,,,,,https://logo.clearbit.com/dnb.no,BjÃ¸rvika,,,,,
EIOF,5443,Energy,514,"Eidesvik Offshore ASA operates as a shipping company. It operates through Seismic, Subsea/Offshore Wind, Platform Supply, and Other segments. The company delivers shipping services to customers who produce seismic data; subsea inspection, maintenance, repair, and construction services for subsea work in the oil industry; and shipping services the offshore oil industry. It operates 6 large supply and one smaller supply vessels; a fleet of 4 vessels related to seismic; and a fleet of 4 vessels related to subsea/wind. The company is headquartered in BÃ¸mlo, Norway. Eidesvik Offshore ASA is a subsidiary of Eidesvik Invest AS.",BÃ¸mlo,47 53 44 80 00,Norway,[],http://www.eidesvik.no,1,Vestvikveien 1,,Oil & Gas Equipment & Services,3.14,3.02,3.7654347,,0,,3.02,,8244,,3.14,3.227647,,3.02,,8244,,,,,1400198400,0.780487,,,3,4,NOK,,2073,,,,186450000,,,18039,0.3038278,3,3.14,,,2073,6.12,,,,2.9,3,False,,,3.02,OSL,EIDESVIK OFFSHORE,Eidesvik Offshore ASA,Europe/Oslo,CEST,False,7200000,EQUITY,EIOF.OL,finmb_22071229,no_market,,3.536,,-1.10569,12.966,-0.44522965,,,,62150000,,,10.307,,,,1577750400,0.05849,-678529984,-10.921,,0.18023336,0.29106432,0.7988,1640908800,1585612800,,,11241070,2169885952,,,,,,,,,,,,,,https://logo.clearbit.com/eidesvik.no,,,,,,
BMA,4701,Industrials,,"Byggma ASA manufactures and supplies building materials to builders and retailers in the Nordic countries. It offers pre-painted ceilings and wall panels under the Huntonit brand name; I-beams for use in ceilings, walls, and floors in wood-based buildings under the brand name of Masonite; and particle boards, boards, and structural panels for use in buildings, pre painted ceilings, and wall panels under the Forestia brand name. The company also provides home lighting products under the Scan Lamps brand name; doors and windows for new buildings, extensions, or rehabilitation under the brand name of Uldal; a range of lamp and lighting products under the Aneta brand name; and develops, manufactures and distributes MDF panels for walls, ceilings, bathrooms, and kitchens under the brand name of Smartpanel. The company is headquartered in Vennesla, Norway.",Vennesla,47 38 13 71 00,Norway,[],http://www.byggma.no,1,Venneslaveien 233,,Building Products & Equipment,102,105,92.228264,0.009803922,0.1558,,108,,351,,102,104.20588,1,105,,351,,,,1,1590624000,0.595818,,,105,2,NOK,16.45768,1459,,,,733102656,,,1526,0.3948766,105,105,,170100,1459,109,,,3.01,66,105,False,0.0098,38900,108,OSL,BYGGMA ASA,Byggma ASA,Europe/Oslo,CEST,False,7200000,EQUITY,BMA.OL,finmb_9391774,no_market,,0.531,,0.024,6.267,0.13333333,,,,6981930,,,127.596,,,,1577750400,0.0602,44549000,6.38,,0.18023336,0.82290983,0.94914,1640908800,1585612800,,,325966,986366016,,,,,,-0.177,,,,,,,,https://logo.clearbit.com/byggma.no,Postboks 21,,,,,
COV,111 22,Healthcare,47,"ContextVision AB (publ), a medical technology software company, provides image analysis and artificial intelligence software solutions to original equipment manufacturers worldwide. It operates through two segments, Medical Imaging and Digital Pathology. The company offers image enhancement software for 2D/3D/4D ultrasound, radiography, magnetic resonance imaging (MRI), and mammography. Its products include US PLUSView, an image enhancement software product for women's health, general imaging, cardiovascular, and point of care applications; VolarView, an image enhancement software for the handheld ultrasound market segment; GOPiCE, a technology for volumetric image enhancement in real-time; and REALiCE, a volumetric image enhancement and rendering solution for visualization. The company also provides Altumira/Altumira Plus, a solution for various digital radiography systems; GOPView XR2Plus for x-ray systems for human and veterinary examinations; and Orthopedic Package for orthopedic imaging. In addition, it offers GOPView MRI2Plus, an image enhancement solution for MRI; GOPView Mammo3, an image enhancement software for screening and diagnostic mammography; and INIFY Prostate, an AI-based software that outlines and quantifies suspected cancerous areas in a series of prostate biopsies. ContextVision AB (publ) was founded in 1983 and is headquartered in Stockholm, Sweden.",Stockholm,46 87 50 35 50,Sweden,[],http://www.contextvision.com,1,Klara Norra Kyrkogata 31,,Health Information Services,23.305,23.41,138.73402,,0,,24.575,,180134,,23.305,174.87926,,23.41,,180134,,,,,1212969600,1.293263,,,23.41,2,NOK,,60929,,,,1848309632,,,54905,,23.41,23.99,,140000,60929,309,91.88461,,,22.7,23.8,False,,140000,24.575,OSL,CONTEXTVISION AB,ContextVision AB (publ),Europe/Oslo,CEST,False,7200000,EQUITY,COV.OL,finmb_786673,no_market,,,,0.10281,,-0.6973376,,0.26,,77367504,,,0.808,,,,1577750400,0.08879,,-0.033,,0.18023336,29.56683,0.7414,1640908800,1593475200,,,20432757,1803049600,,1597795200,10:1,,,-0.7,,,,,,,,https://logo.clearbit.com/contextvision.com,,,,,,
ELOP-ME,2316,Technology,,"Elop AS designs and develops smart products and solutions for the inspection, asset management, and structural health monitoring of concrete structures. It offers Cobri, a tool that gathers assessment data on critical infrastructure such as bridges, tunnels, and buildings and provides it to owners of critical concrete infrastructure. The company was founded in 2013 and is based in Hamar, Norway.",Hamar,47 41 64 13 00,Norway,[],http://www.elop.no,1,Nordvikvegen 50,,Scientific & Technical Instruments,5.7,5.7,5.2504,,0,,5.7,,174921,,5.7,5.2504,,5.7,,174921,,,,,,,,,5.6,2,NOK,,42833,,,,395805312,,,342893,,5.6,5.689,,,42833,6.2,,,,4.82,5.63,False,,,5.7,OSL,ELOP AS,Elop AS,Europe/Oslo,CEST,False,7200000,EQUITY,ELOP-ME.OL,finmb_622946747,no_market,,,,0,,0.08550751,,,,70302896,,,,,,,,,,,,0.18023336,,,,,,,,,,,,,,,,,,,,,,https://logo.clearbit.com/elop.no,,,,,,
EMAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YHD,,EMAS Offshore Limited,America/New_York,EDT,False,-14400000,MUTUALFUND,EMAS.OL,finmb_268054902,us_market,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENDUR,5160,Industrials,249,"EndÃºr ASA engages in the aquaculture, maritime, and energy businesses in Norway and internationally. The company offers maritime service, and technical ship maintenance and services; and produces integrated concrete feed and work barges for the aquaculture industry. It also engages in the maintenance, modification, installation, fabrication, and reconstruction of oil and gas installations for onshore and offshore. The company was formerly known as Bergen Group ASA and changed its name to EndÃºr ASA in February 2019. EndÃºr ASA was founded in 2007 and is headquartered in Bergen, Norway.",Bergen,47 55 54 24 00,Norway,[],http://www.endur.no,1,DamsgArdsveien 229,,Conglomerates,1.41,1.4,1.0321159,,0,,1.41,,475656,,1.41,1.4702941,,1.4,,475656,,,,,,,,,1.355,4,NOK,,617024,,,,385003776,,,3049215,0.7278339,1.355,1.38,,0,617024,3.2,,,,0.532,1.36,False,,0,1.41,OSL,ENDUR ASA,Endúr ASA,Europe/Oslo,CEST,False,7200000,EQUITY,ENDUR.OL,finmb_22783429,no_market,,0.684,,-0.01554,-57.636,0.27027023,,,,283091008,,,0.546,,,,1577750400,0.17669001,-15706000,-0.039,,0.18023336,2.4908426,0.70949996,1640908800,1585612800,,,86700342,361610336,,,,,,0.402,,,,,,,,https://logo.clearbit.com/endur.no,LaksevAg,,,,,
EQNR,4035,Energy,21412,"Equinor ASA, an energy company, explores for, produces, transports, refines, and markets petroleum and petroleum-derived products, and other forms of energy in Norway and internationally. The company operates through Development & Production Norway; Development & Production Brazil; Development & Production International; Marketing, Midstream & Processing; New Energy Solutions; Technology, Projects & Drilling; Exploration; and Global Strategy & Business Development segments. It also transports, processes, manufactures, markets, and trades in oil and gas commodities, such as crude and condensate products, gas liquids, natural gas, and liquefied natural gas; markets and trades in electricity and emission rights; and operates refineries, processing and power plants, and terminals. In addition, the company develops wind, and carbon capture and storage projects, as well as offers other renewable energy and low-carbon energy solutions. As of December 31, 2019, it had proved oil and gas reserves of 6,004 million barrels of oil equivalent. The company was formerly known as Statoil ASA and changed its name to Equinor ASA in May 2018. Equinor ASA was founded in 1972 and is headquartered in Stavanger, Norway.",Stavanger,47 51 99 00 00,Norway,[],http://www.equinor.com,1,Forusbeen 50,,Oil & Gas Integrated,142.55,143.5,139.17276,0.0049807085,,,146.9,,2175520,,142.55,141.3853,0.71,143.5,,2175520,,,,6.76,1605139200,0.731707,,,143.5,2,NOK,,965278,,,,476441968640,,,3516832,9.121823,143.5,146.7,,,965278,187.2,,,4.95,95.2,146.65,False,0.0231,,146.9,OSL,EQUINOR ASA,Equinor ASA,Europe/Oslo,CEST,False,7200000,EQUITY,EQNR.OL,finmb_989228,no_market,,9.288,,-0.04413,33.791,-0.04903263,,,,3247729920,,,10.863,,,,1577750400,0.19812,-2304999936,-0.697,,0.18023336,13.504557,0.67271006,1640908800,1593475200,,,1015658280,485107793920,,1147219200,5:1,,,,,,,,,,,https://logo.clearbit.com/equinor.com,,,,,,
ELE,0250,Basic Materials,2,"Element ASAengages  acquisition and development of mineral resources. It holds interests in the nickel-cobalt-mineralized areas on the island of Mindoro in the Philippines. The company's main assets are currently the Mindoro Nickel Project, PALCapital Ventures. The company was formerly known as Intex Resources ASA and changed its name to Element ASA in October 2017. Element ASA was incorporated in 1996 and is headquartered in Oslo, Norway.",Oslo,47 23 08 23 08,Norway,[],http://www.elementasa.com,1,Grundingen 2,,Other Industrial Metals & Mining,4.95,4.95,4.4975142,,0,,4.99,,162934,,4.95,5.2382355,,4.95,,162934,,,,,,3.890824,,,4.76,4,NOK,,122148,,,,91568560,,,829042,586.97797,4.76,4.865,,0,122148,9.5,,,,1.8,4.805,False,,0,4.99,OSL,ELEMENT ASA,Element ASA,Europe/Oslo,CEST,False,7200000,EQUITY,ELE.OL,finmb_22929109,no_market,,673.192,,0,-36.073,1.6190476,,,,18899600,,,0.229,,,,1577750400,0.00629,-5625000,-0.457,,0.18023336,21.157204,0.28688,1640908800,1585612800,,,11864880,105018000,,1556150400,1:20,,,,,,,,,,,https://logo.clearbit.com/elementasa.com,,,,,,
EXTX-ME,0379,Healthcare,4,"EXACT Therapeutics AS, a clinical stage biotech company, develops a technology platform for targeted therapeutic enhancement, Acoustic Cluster Therapy (ACT). The ACT sonoporation is an approach to ultrasound-mediated, targeted drug enhancement with the potential to amplify the clinical utility of a range of therapeutic agents across various indications, including within oncology (chemotherapy and immunotherapy), infectious diseases, and neurological conditions. The company was founded in 2012 and is based in Oslo, Norway.",Oslo,,Norway,[],http://www.exact-tx.com,1,Ullernchausseen 64,,Biotechnology,34,34,36.462826,,0,,34.495,,1145,,34,36.462826,,34,,1145,,,,,,,,,34,2,NOK,,3200,,,,1033739200,,,11438,139.16888,34,34.495,,,3200,53.592,,,,26,33.5,False,,,34.495,OSL,EXACT THERAPEUTICS,EXACT Therapeutics AS,Europe/Oslo,CEST,False,7200000,EQUITY,EXTX-ME.OL,finmb_582869177,no_market,,137.172,,-2.01696,-64.917,0.068376064,,,,29967800,,,1.404,,,,1577750400,,-14981884,-0.5,,0.18023336,24.569086,,1640908800,,,,29885039,1018903488,,1595808000,250:1,,,,,,,,,,,https://logo.clearbit.com/exact-tx.com,,,,,,
EPIC-ME,059818,Energy,,"Epic Gas Ltd, together with its subsidiaries, owns and operates a fleet of pressurized gas carriers in Southeast Asia, Europe, West Africa, and the United States. As of February 13, 2020, it operated a fleet of 44 vessels that provide seaborne services for the transportation of liquefied petroleum gas and petrochemicals, which serve as a link in the international gas and petrochemical supply chains of various oil and commodity trading houses. The company also offers commercial and technical management services for various ship owners. In addition, it engages in vessel owning and chartering activities. Epic Gas Ltd was incorporated in 2012 and is headquartered in Singapore. Epic Gas Ltd is a subsidiary of BW Group Limited.",Singapore,65 6230 7801,Singapore,[],http://www.epic-gas.com,1,8 Eu Tong Sen Street,,Oil & Gas Midstream,15.7,16.6,13.98913,,0,,16.6,,1100,,15.7,14.752941,,16.6,,1100,,,,,,0.321138,,,15.7,2,NOK,560.71423,2208,,,,1673619968,,,284,8.994368,15.7,18.5,,,2208,19,,,,13.4,0,False,,,16.6,OSL,EPIC GAS LTD,Epic Gas Ltd.,Europe/Oslo,CEST,False,7200000,EQUITY,EPIC-ME.OL,finmb_254340014,no_market,,10.693,,0.01594,41.235,0,,,,106600000,,,2.764,,,,1577750400,0,2965409,0.028,,0.18023336,5.680174,0.83456004,1640908800,1593475200,,,17242550,1989619968,,,,,,,,,,,,,,https://logo.clearbit.com/epic-gas.com,"No.22-89, The Central",,,,,
FLNG,HM08,Energy,8,"Flex LNG Ltd., through its subsidiaries, engages in the seaborne transportation of liquefied natural gas (LNG) worldwide. As of December 31, 2019, it owned and operated six LNG carriers. It also provides chartering and management services. Flex LNG Ltd. was founded in 2006 and is based in Hamilton, Bermuda.",Hamilton,441 295 6935,Bermuda,[],http://www.flexlng.com,1,Par-La-Ville Place,441 295 3494,Oil & Gas Midstream,47.28,48,50.985363,0.004230119,1.8944,,50,,134241,,47.28,50.267353,0.2,48,,134241,,,,1.87,1583798400,0.586409,,,47.94,2,NOK,970.58826,258345,,,,2678474752,,,121553,18.376808,47.94,49.5,,219600,258345,108.2,353.57144,,,38.1,49.42,False,0.0396,100000,50,OSL,FLEX LNG LTD (BM),Flex LNG Ltd.,Europe/Oslo,CEST,False,7200000,EQUITY,FLNG.OL,finmb_36151890,no_market,,22.191,,0.01914,30.835,-0.4608894,,0.14,,54110600,,,15.015,,,,1577750400,0.19859,2790000,0.051,,0.18023336,3.2967033,0.4586,1640908800,1593475200,,,28832284,3234376448,,1552262400,1:10,,,,,,,,,,,https://logo.clearbit.com/flexlng.com,4th Floor 14 Par-La-Ville Road,,,,,
GOGL,HM 08,Industrials,37,"Golden Ocean Group Limited, a shipping company, owns and operates a fleet of dry bulk vessels comprising of Newcastlemax, Capesize, Panamax, and Ultramax vessels worldwide. It owns and operates dry bulk vessels in the spot and time charter markets. The company transports bulk commodities, such as ores, coal, grains, and fertilizers. As of March 12, 2020, it owned a fleet of 67 vessels. Golden Ocean Group Limited is based in Hamilton, Bermuda.",Hamilton,441 295 6935,Bermuda,[],http://www.goldenocean.bm,1,Par-la-Ville Place,441 295 3494,Marine Shipping,36.74,36.94,35.69029,0.0054436577,,,37.62,,870352,,36.74,35.94412,0.2,36.94,,870352,,,,2.24,1583366400,1.718681,,,36.2,2,NOK,,453352,,,,5358597632,,,1024895,7.4836884,36.2,37.44,,470900,453352,59.6,,,,26.5,37.4,False,0.060399998,400000,37.62,OSL,GOLDEN OCEAN GROUP,Golden Ocean Group Limited,Europe/Oslo,CEST,False,7200000,EQUITY,GOGL.OL,finmb_262789605,no_market,,9.068,,-0.17368001,37.09,-0.285214,,,,143278000,,,9.101,,,,1577750400,0.2715,-124361000,-0.871,,0.18023336,4.109439,0.36176997,1640908800,1593475200,,,91444125,6492854784,,1470009600,1:5,,,,,,,,,,,https://logo.clearbit.com/goldenocean.bm,14 Par-la-Ville Road PO Box HM 1593,,,,,
RISH,5058,Industrials,32,"GC Rieber Shipping ASA engages in the design, development, construction, and maritime operation of specialized vessels within the offshore/shipping business in Norway, Great Britain, Africa, and the Netherlands. It operates through Subsea and Ice/Support segments. The Subsea segment owns and operates subsea vessels that are primarily used for construction, inspection, maintenance, and repair of subsea installations. The Ice/Support segment owns and operates a vessel within ice/support that provides services for scientific expeditions and logistics operations, as well as for the oil and gas sector. The company operates 11 vessels and has direct and indirect ownership of 23 advanced special purpose vessels. It also provides marine ship management and project development services. The company was founded in 1879 and is headquartered in Bergen, Norway. GC Rieber Shipping ASA is a subsidiary of GC Rieber AS.",Bergen,47 55 60 68 00,Norway,[],http://www.gcrieber-shipping.com,1,Solheimsgaten 15,,Marine Shipping,6.25,6.3,6.3103623,0.08,0,,6.3,,2996,,6.25,6.1838236,0.5,6.3,,2996,,,,,1428624000,0.991289,,,6.05,2,NOK,,345,,,,520498464,,,5780,2.5794706,6.05,6.05,,110000,345,11.5,,,,4.5,5.2,False,,100000,6.3,OSL,GC RIEBER SHIPPING,GC Rieber Shipping ASA,Europe/Oslo,CEST,False,7200000,EQUITY,RISH.OL,finmb_884214,no_market,,8.148,,-0.90569,20.269,-0.246988,,,,86032800,,,20.62,,,,1577750400,0.01897,-182755008,-2.124,,0.18023336,0.29340446,0.92489,1640908800,1585612800,,,8121469,1644138240,,1176422400,10:1,,,,,,,,,,,https://logo.clearbit.com/gcrieber-shipping.com,,,,,,
